Artist	Date	Titre	D1	D2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. G[ama] Amr. Inscription d'un Mihrab 	12.2	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Gd Temple. Chapiteau 	8.5	7.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Constantinople. Hyppodrôme 	23.5	9.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Pet. Temple. Intér. Porte. Ext. frise 	8.5	6.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Gde Cour. Niches 	8.5	5.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	"Souk [Souk Wadi Barada, Syrie]. Tombeaux "	8.7	11.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Kaire 1843. Vue géné.[rale] prise de ma terrasse. Ezbékieh 	9.0	15.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Vieux Kaire. M.[Mosquée] Amr. Nefs. Cour 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Aphrodisias. Col. [...] 1er plan. [Femme assise de dos au milieu des ruines] 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Mme Duvigneau 	11.3	8.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Gde Cour. Niches 	8.5	5.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	[Fontaine du Château-d'eau pétrifiée par le gel] 	16.5	22.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Mme Duvigneau et ses filles 	8.7	11.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	"[Arbre, chemin et falaise] "	14.0	12.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Arbres au bord d'un étang] 	18.0	23.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1855	[Portrait de deux jeunes femmes aux yeux baissés] 	10.0	7.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Baalbek. Façade. Entablement] 	7.5	8.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : détail de sculpture] 	11.0	18.0
